order_id,user_id,amount,quantity,created_at,status
A0666,0601,254.25,,2025-10-06T21:09:00Z,refunded
A0183,0860,87.43,2,2025-06-22T18:03:00Z,refunded
A2478,0928,305.16,,2025-12-12T12:46:00Z,refund
A4194,0082,23.75,9,,Refunded
A3455,0333,206.9,,2025-01-12T03:07:00Z,refund
A1036,0158,456.57,7,2025-06-19T23:51:00Z,PAID
A2883,0661,323.56,5,2025-07-15T01:17:00Z,Refunded
A2806,0278,41.82,7,2025-12-17T18:40:00Z,
A2924,0792,475.5,6,,PAID
A3912,0817,282.27,,2025-11-10T05:48:00Z,
A3843,0734,396.04,6,2025-02-20T18:29:00Z,Paid
A3296,0291,75.97,8,2025-05-12T08:32:00Z,refund
A0979,0099,306.09,8,2025-04-24T09:45:00Z,Pending
A0540,0356,329.21,7,2025-06-10T16:27:00Z,refunded
A4508,0450,422.42,4,2025-01-30T10:21:00Z,paid
A0023,0491,18.96,7,2025-11-26T17:19:00Z,refunded
A0166,0193,47.17,7,2025-10-15T11:09:00Z,Paid
A2150,0225,415.76,4,,Refunded
A3361,0903,230.67,9,2025-12-20T20:18:00Z,Pending
A0507,0846,443.53,5,2025-01-26T06:25:00Z,PAID
A4478,0233,446.72,6,2025-03-16T16:36:00Z,PAID
A4136,0549,37.08,7,2025-01-19T12:25:00Z,paid
A4066,0864,,7,2025-07-24T01:31:00Z,Pending
A4126,0053,445.57,9,,PAID
A4576,0517,219.85,3,2025-05-25T04:16:00Z,refunded
A1360,0721,445.7,9,2025-04-03T12:22:00Z,PAID
A4393,0126,215.9,5,2025-04-19T09:53:00Z,paid
A0239,0163,74.08,2,2025-04-13T06:56:00Z,refunded
A4809,0085,328.99,2,2025-07-06T08:30:00Z,Refunded
A0668,0356,447.43,,2025-06-06T02:03:00Z,paid
A3026,0846,494.74,7,2025-02-20T22:50:00Z,Paid
A0877,0138,395.44,3,,
A2746,0516,280.58,5,2025-07-15T04:35:00Z,refund
A0610,0099,80.77,9,2025-11-24T02:53:00Z,PAID
A0392,0032,23.44,4,2025-02-28T06:59:00Z,
A1526,0947,209.38,,2025-10-22T21:56:00Z,Refunded
A3360,0309,376.24,6,2025-10-23T12:48:00Z,paid
A0139,0641,265.1,5,2025-05-03T18:02:00Z,refunded
A4396,0692,50.54,9,2025-02-22T20:21:00Z,refunded
A3914,0987,361.45,5,2025-05-18T13:46:00Z,
A2127,0416,218.99,1,2025-01-01T05:57:00Z,Pending
A3259,0306,196.77,2,2025-04-15T23:44:00Z,Paid
A2912,0238,,4,2025-08-15T01:31:00Z,PAID
A0367,0765,319.96,9,2025-04-19T22:36:00Z,paid
A0947,0523,196.63,9,2025-08-11T07:19:00Z,Pending
A1218,0332,197.05,8,2025-03-21T16:53:00Z,refunded
A3214,0375,238.28,5,2025-04-30T15:49:00Z,Pending
A1782,0300,,4,2025-09-03T22:17:00Z,paid
A1422,0400,64.29,3,2025-02-11T13:32:00Z,PAID
A1930,0348,333.04,8,2025-04-08T00:23:00Z,Pending
A3226,0889,457.86,,2025-02-19T19:21:00Z,Pending
A4626,0623,96.7,2,2025-10-26T05:55:00Z,Refunded
A3183,0632,44.46,3,2025-05-12T19:15:00Z,Pending
A0453,0168,16.62,9,2025-06-28T20:57:00Z,refund
A4469,0595,387.97,3,2025-07-24T07:49:00Z,PAID
A3817,0568,234.61,2,2025-01-11T10:05:00Z,Refunded
A1416,0791,125.74,7,2025-07-21T06:35:00Z,refunded
A3580,0585,281.8,6,2025-05-25T12:44:00Z,
A2995,0455,34.74,5,2025-01-04T21:08:00Z,paid
A3678,0792,213.04,,2025-07-15T20:45:00Z,Refunded
A2241,0120,420.14,7,,Pending
A3470,0438,492.12,1,2025-07-19T00:20:00Z,
A3712,0808,480.99,8,2025-09-05T06:27:00Z,refunded
A3469,0721,135.42,4,2025-01-20T03:20:00Z,Paid
A1483,0123,32.48,1,2025-02-20T15:09:00Z,
A4909,0607,454.77,,2025-10-21T03:42:00Z,Paid
A2002,0302,282.82,4,2025-04-26T15:08:00Z,
A1003,0067,270.39,9,2025-01-21T19:59:00Z,Refunded
A1228,0743,206.93,3,2025-08-19T15:55:00Z,refunded
A0920,0919,199.9,3,2025-12-05T11:43:00Z,
A4435,0080,229.65,3,2025-08-15T05:23:00Z,refunded
A4121,0514,56.86,9,,PAID
A1070,0859,,2,2025-09-09T12:24:00Z,paid
A0557,0609,430.84,3,2025-03-07T09:32:00Z,Refunded
A0002,0344,,1,2025-02-17T04:09:00Z,refunded
A0037,0259,401.24,9,2025-10-21T14:59:00Z,
A0509,0624,170.63,8,2025-09-11T03:38:00Z,PAID
A1733,0656,434.94,8,2025-02-24T03:41:00Z,PAID
A3544,0459,449.91,9,2025-08-04T05:56:00Z,refund
A1775,0505,147.68,8,,Paid
A4882,0738,478.68,8,2025-01-19T11:39:00Z,Pending
A0799,0366,130.98,1,2025-03-28T05:49:00Z,Refunded
A2527,0786,445.24,2,2025-09-13T12:16:00Z,paid
A4266,0154,28.62,5,2025-04-04T19:26:00Z,
A2494,0308,132.39,,2025-05-13T02:20:00Z,refund
A2266,0277,217.1,2,2025-11-20T13:25:00Z,PAID
A3710,0738,342.97,1,2025-09-17T14:27:00Z,refund
A1380,0676,417.57,2,2025-08-05T05:19:00Z,Refunded
A1219,0571,15.14,,2025-11-14T23:20:00Z,PAID
A4195,0590,236.09,,2025-02-18T18:37:00Z,Pending
A1457,0649,145.84,8,2025-08-06T17:03:00Z,paid
A4421,0498,,1,2025-10-09T01:51:00Z,Paid
A0004,0135,,,,
A0067,0546,425.54,8,,PAID
A2437,0666,56.28,3,2025-10-12T11:17:00Z,Refunded
A4252,0978,36.99,1,2025-03-28T03:27:00Z,Refunded
A2398,0036,362.93,1,2025-06-02T16:29:00Z,Pending
A0638,0598,234.25,,2025-08-09T11:59:00Z,refunded
A1876,0105,285.34,5,,paid
A3295,0357,65.46,2,2025-01-20T20:25:00Z,PAID
A2352,0688,359.95,9,,Refunded
A1635,0806,269.22,2,2025-02-28T13:46:00Z,
A2588,0922,142.02,1,2025-09-26T14:37:00Z,
A1981,0674,203.53,3,2025-07-18T12:45:00Z,refund
A2574,0676,51.28,6,2025-02-28T06:58:00Z,Pending
A1922,0181,481.6,3,2025-07-18T12:48:00Z,refund
A0285,0227,234.02,,2025-03-15T08:33:00Z,Refunded
A0207,0248,451.04,1,2025-01-19T22:38:00Z,
A3188,0234,213.97,1,2025-11-05T10:01:00Z,Pending
A4231,0874,469.33,,2025-10-30T11:35:00Z,
A2665,0392,,9,2025-09-28T06:40:00Z,paid
A1188,0040,86.89,1,2025-10-27T10:04:00Z,refunded
A3046,0495,204.9,,2025-11-13T00:34:00Z,Paid
A4963,0665,171.25,8,2025-11-14T13:24:00Z,Pending
A4083,0028,136.39,5,2025-10-25T04:13:00Z,refunded
A1392,0682,217.1,4,2025-10-22T15:23:00Z,refund
A4006,0311,226.72,6,2025-05-07T17:41:00Z,refund
A0210,0520,42.83,6,2025-07-10T05:06:00Z,PAID
A4186,0068,94.58,5,2025-03-22T00:57:00Z,refunded
A2033,0971,65.56,9,2025-11-19T20:02:00Z,refunded
A0796,0197,367.42,9,2025-12-09T08:07:00Z,Pending
A4828,0515,148.73,5,2025-10-02T17:03:00Z,PAID
A0451,0142,117.47,9,2025-01-01T22:40:00Z,Pending
A2906,0275,,1,2025-12-15T14:50:00Z,Pending
A0308,0205,127.22,4,2025-05-08T16:25:00Z,paid
A1907,0760,100.18,7,2025-07-01T00:01:00Z,Paid
A0095,0258,450.28,7,2025-12-06T22:07:00Z,Refunded
A2439,0369,397.11,9,2025-08-24T00:51:00Z,
A0158,0976,488.71,6,2025-09-08T03:38:00Z,refund
A1110,0751,236.86,1,2025-12-16T15:56:00Z,
A0943,0239,404.61,7,2025-09-17T09:42:00Z,Pending
A3266,0559,132.2,2,2025-08-25T07:41:00Z,Pending
A0102,0453,409.85,,2025-10-27T04:41:00Z,refunded
A2922,0202,467.74,1,2025-03-10T08:12:00Z,refunded
A4028,0873,495.02,,,Refunded
A3265,0245,370.7,1,2025-05-07T19:05:00Z,Paid
A0820,0261,210.14,3,2025-08-25T23:13:00Z,paid
A3471,0976,121.63,9,,refund
A2281,0459,233.09,1,2025-08-25T16:21:00Z,Paid
A0099,0549,421.28,5,2025-01-26T00:26:00Z,PAID
A1620,0570,35.23,,2025-01-22T14:05:00Z,refunded
A0126,0863,162.25,3,2025-01-12T07:25:00Z,refunded
A2843,0763,482.79,2,2025-12-07T11:38:00Z,Pending
A2261,0021,,3,2025-12-07T12:01:00Z,paid
A4847,0400,332.04,5,2025-09-23T04:14:00Z,Pending
A1220,0533,48.46,7,,Pending
A2020,0727,101.03,7,2025-12-03T14:01:00Z,PAID
A0579,0026,362.22,1,2025-11-05T00:31:00Z,Pending
A1884,0611,146.26,8,2025-05-13T16:35:00Z,refunded
A0551,0082,114.5,8,2025-11-14T17:20:00Z,PAID
A1889,0910,104.62,1,2025-09-09T14:03:00Z,refunded
A4204,0258,288.12,9,2025-07-03T20:37:00Z,Refunded
A0567,0809,300.89,3,2025-06-22T05:00:00Z,paid
A2563,0612,474.29,3,2025-06-06T04:25:00Z,Pending
A4548,0387,46.6,8,2025-01-21T16:16:00Z,Refunded
A1397,0231,447.92,5,2025-10-28T13:28:00Z,PAID
A1849,0739,277.67,9,,PAID
A1633,0608,486.35,1,2025-09-17T07:36:00Z,Pending
A2549,0128,353.39,5,2025-11-21T05:14:00Z,PAID
A3985,0775,390.76,3,2025-12-16T11:22:00Z,PAID
A4554,0800,419.17,1,2025-11-13T21:06:00Z,Paid
A0091,0612,293.28,4,2025-05-27T11:46:00Z,refunded
A2682,0130,259.94,4,2025-06-19T18:07:00Z,Pending
A1388,0912,231.73,8,2025-01-07T05:13:00Z,
A4645,0061,291.86,2,2025-03-14T08:56:00Z,refund
A0416,0870,311.56,1,2025-10-30T16:12:00Z,PAID
A1260,0646,120.91,2,2025-01-24T02:11:00Z,Pending
A2578,0216,,4,2025-12-06T11:56:00Z,refund
A1328,0288,266.39,2,2025-12-19T07:42:00Z,Paid
A1493,0757,255.32,4,2025-11-03T17:46:00Z,Pending
A3516,0205,,5,2025-04-14T20:12:00Z,paid
A4671,0406,,,2025-06-15T13:06:00Z,refunded
A4261,0250,157.39,7,,Pending
A0031,0292,69.16,5,2025-01-21T05:52:00Z,Refunded
A1671,0990,,7,2025-12-08T00:51:00Z,
A1061,0738,44.35,5,2025-01-13T01:41:00Z,Paid
A4871,0160,475.36,8,2025-05-25T03:08:00Z,Refunded
A4868,0303,63.72,7,2025-10-08T22:23:00Z,Paid
A1311,0648,,3,2025-12-20T03:16:00Z,refund
A4474,0829,426.26,3,,refunded
A0230,0247,357.1,2,,refunded
A4989,0720,,1,2025-10-25T10:12:00Z,Paid
A2819,0028,130.6,6,2025-06-21T05:25:00Z,refund
A4509,0141,236.3,5,2025-05-20T03:48:00Z,Refunded
A2847,0700,99.75,2,2025-09-02T12:31:00Z,refund
A3980,0370,426.46,6,2025-08-12T18:06:00Z,refund
A4695,0068,290.99,6,2025-11-14T21:25:00Z,PAID
A4454,0765,188.74,8,,Paid
A0001,0183,130.93,7,2025-01-19T10:26:00Z,
A2540,0966,375.81,2,2025-11-07T18:02:00Z,refund
A3274,0604,328.36,1,,Pending
A2413,0902,132.76,1,2025-05-14T15:34:00Z,refunded
A0039,0255,160.24,4,2025-08-14T09:40:00Z,refunded
A2782,0132,289.44,8,2025-04-22T01:37:00Z,Pending
A4689,0441,147.45,9,2025-02-19T06:06:00Z,Pending
A4604,0787,236.64,,2025-02-15T20:53:00Z,
A0259,0891,239.51,6,2025-01-06T15:07:00Z,PAID
A2684,0746,88.13,7,,PAID
A4180,0708,,9,2025-01-19T17:36:00Z,paid
A4676,0937,275.13,5,2025-08-08T11:34:00Z,PAID
A4591,0960,136.03,,2025-02-05T23:49:00Z,PAID
A1624,0203,394.93,6,2025-01-20T05:46:00Z,refunded
A4225,0832,341.75,2,2025-06-21T20:28:00Z,Paid
A0725,0144,183.33,4,2025-04-04T11:50:00Z,Refunded
A0656,0305,86.91,6,2025-07-10T16:15:00Z,refunded
A4757,0833,366.01,5,,Paid
A0794,0023,,,2025-01-21T18:10:00Z,Paid
A0962,0535,443.69,,,PAID
A2409,0623,236.94,2,2025-10-26T00:50:00Z,Paid
A1659,0711,382.61,5,2025-02-17T16:42:00Z,PAID
A4655,0657,,1,2025-03-03T20:38:00Z,Refunded
A0452,0792,268.52,2,2025-12-16T05:35:00Z,Refunded
A1487,0867,449.23,8,,paid
A3656,0792,106.7,9,2025-08-22T09:57:00Z,Pending
A0939,0415,224.77,1,2025-05-27T18:50:00Z,Refunded
A1678,0081,341.22,7,2025-01-25T08:10:00Z,refund
A4673,0914,186.69,6,2025-09-27T06:16:00Z,Refunded
A1064,0399,76.73,8,2025-11-23T00:39:00Z,PAID
A3170,0682,234.8,9,2025-10-04T13:46:00Z,PAID
A2440,0031,40.79,8,2025-04-26T20:07:00Z,refunded
A3044,0384,242.3,6,2025-12-04T18:55:00Z,paid
A1899,0375,264.31,1,,paid
A2672,0506,455.28,2,2025-06-10T22:03:00Z,refund
A4355,0167,120.06,3,2025-03-09T16:42:00Z,Refunded
A2630,0255,172.68,3,2025-06-19T04:21:00Z,PAID
A3192,0750,315.16,4,2025-01-05T08:09:00Z,Refunded
A4927,0012,387.12,1,2025-10-25T04:25:00Z,refund
A1235,0645,36.64,8,2025-02-13T14:34:00Z,Refunded
A4113,0191,,2,,Refunded
A1204,0060,,1,2025-04-13T00:23:00Z,refunded
A0689,0935,234.31,6,,PAID
A3179,0841,288.61,4,2025-08-23T09:19:00Z,Paid
A3897,0839,426.31,8,2025-02-02T21:59:00Z,refunded
A3353,0778,103.14,,2025-05-05T10:25:00Z,Pending
A2284,0382,475.3,,2025-03-01T14:20:00Z,Refunded
A0008,0344,43.76,8,2025-08-31T21:07:00Z,refunded
A3724,0058,259.98,6,2025-04-22T21:52:00Z,Paid
A4916,0545,163.98,8,2025-02-20T18:05:00Z,paid
A3918,0732,115.37,2,2025-04-17T08:34:00Z,Paid
A0078,0336,414.74,8,2025-11-21T23:23:00Z,refunded
A0846,0608,105.04,2,2025-12-04T18:15:00Z,paid
A4244,0213,92.72,,2025-02-15T23:33:00Z,PAID
A4643,0681,49.5,9,2025-07-18T15:21:00Z,Refunded
A4825,0401,361.36,7,2025-11-25T09:29:00Z,Refunded
A0421,0348,238.21,1,2025-12-19T03:34:00Z,Refunded
A4727,0903,354.99,5,2025-04-28T09:48:00Z,paid
A4894,0735,98.79,7,2025-01-27T00:24:00Z,refunded
A2050,0205,455.16,1,2025-11-27T10:54:00Z,refunded
A3948,0920,162.77,9,2025-09-15T19:32:00Z,Pending
A0044,0971,407.93,9,2025-06-07T15:12:00Z,PAID
A3430,0085,,3,2025-09-22T02:18:00Z,refund
A3537,0865,136.06,8,2025-02-02T00:08:00Z,Pending
A4805,0235,56.52,8,2025-12-22T10:19:00Z,PAID
A0849,0267,341.04,3,2025-09-14T15:01:00Z,Pending
A3141,0819,407.08,,2025-04-15T21:10:00Z,refunded
A4256,0900,491.64,9,2025-09-22T04:58:00Z,refund
A0266,0317,79.83,6,2025-10-17T13:08:00Z,
A2874,0492,85.14,3,2025-09-27T14:35:00Z,Refunded
A3132,0196,395.05,3,,Refunded
A3212,0159,82.79,5,2025-01-03T23:44:00Z,Pending
A2626,0178,306.7,5,2025-04-16T13:58:00Z,Paid
A3275,0830,436.59,9,,refunded
A3474,0744,242.81,8,2025-04-09T13:05:00Z,
A0871,0635,115.95,2,2025-05-05T21:56:00Z,refund
A1861,0584,198.94,7,2025-02-08T10:00:00Z,Paid
A2572,0165,277.79,7,2025-08-26T07:41:00Z,
A2386,0875,258.46,1,2025-04-14T11:12:00Z,Paid
A4938,0329,202.27,6,2025-10-16T15:18:00Z,Refunded
A0882,0130,455.08,9,2025-09-10T12:08:00Z,paid
A0633,0354,324.07,3,2025-10-01T11:33:00Z,Refunded
A3968,0005,192.99,,2025-10-06T18:49:00Z,refund
A4334,0674,192.69,1,,Pending
A2947,0322,491.66,2,2025-01-13T04:06:00Z,
A3365,0692,446.18,,2025-11-01T22:23:00Z,
A0167,0383,227.0,9,,
A1257,0809,275.21,8,,paid
A2262,0561,89.41,1,2025-03-29T08:20:00Z,Refunded
A0995,0477,307.63,7,2025-05-16T15:43:00Z,Refunded
A4016,0533,273.97,3,2025-10-21T16:06:00Z,refunded
A2579,0114,433.04,1,2025-07-07T05:23:00Z,refunded
A3878,0490,150.47,7,2025-03-24T18:18:00Z,Pending
A1407,0089,118.93,3,2025-01-29T10:57:00Z,refund
A0069,0491,,7,2025-04-12T23:38:00Z,Paid
A0652,0957,26.27,,2025-01-22T00:30:00Z,Refunded
A1761,0504,61.49,4,2025-10-16T06:32:00Z,paid
A3734,0526,99.88,8,2025-05-14T09:50:00Z,Paid
A3069,0267,45.58,8,2025-10-05T20:35:00Z,Pending
A1375,0201,66.41,7,,refunded
A1641,0121,30.79,8,2025-10-14T01:59:00Z,paid
A3032,0295,200.48,9,2025-03-22T12:15:00Z,paid
A1829,0291,419.72,2,2025-08-27T11:35:00Z,Paid
A2121,0977,383.41,2,2025-03-08T07:41:00Z,paid
A0207,0248,451.04,1,2025-01-19T17:38:00Z,Paid
A0060,0124,256.46,1,2025-04-29T17:33:00Z,Pending
A2568,0603,62.4,9,2025-12-06T03:15:00Z,paid
A3368,0871,447.46,4,2025-06-08T11:48:00Z,Paid
A0735,0782,374.04,3,2025-07-11T19:38:00Z,Refunded
A1169,0118,353.41,5,2025-08-23T05:43:00Z,Paid
A1821,0110,131.26,9,,PAID
A4490,0121,233.3,4,,Pending
A1722,0929,80.0,2,2025-02-14T11:11:00Z,refunded
A1277,0118,142.32,4,2025-04-07T00:59:00Z,
A2621,0484,109.11,9,2025-08-27T05:06:00Z,Pending
A3073,0761,246.83,2,2025-01-01T11:34:00Z,paid
A3618,0802,79.6,7,2025-01-16T23:55:00Z,paid
A3926,0382,401.54,9,2025-04-06T12:13:00Z,Paid
A2092,0828,,4,2025-12-08T20:07:00Z,refunded
A4629,0638,330.97,,2025-07-04T09:07:00Z,Paid
A0265,0111,,7,2025-10-24T00:49:00Z,
A0856,0546,,2,,refund
A4700,0345,63.82,7,,refund
A3870,0563,417.4,3,2025-11-12T03:27:00Z,PAID
A1716,0202,331.74,,,
A2771,0018,497.03,,2025-04-30T13:55:00Z,PAID
A3014,0486,398.2,1,2025-06-27T09:50:00Z,PAID
A0629,0418,417.17,1,2025-09-23T06:18:00Z,PAID
A4546,0468,320.55,,2025-01-19T13:25:00Z,Paid
A0024,0260,426.84,9,2025-12-05T20:00:00Z,refunded
A2694,0438,79.35,8,2025-01-26T07:54:00Z,
A3809,0343,306.5,8,,Pending
A1883,0770,230.67,7,,refunded
A0208,0022,,7,2025-01-12T09:58:00Z,Paid
A3375,0317,342.92,1,2025-06-12T14:49:00Z,Pending
A0033,0207,437.83,5,2025-01-26T02:36:00Z,Pending
A0539,0931,164.86,4,2025-06-21T05:48:00Z,Pending
A4405,0183,149.22,7,2025-11-06T07:23:00Z,
A4586,0422,308.11,6,2025-08-13T11:37:00Z,refund
A3808,0995,400.03,1,2025-08-01T13:28:00Z,PAID
A2049,0115,85.75,4,2025-01-27T22:51:00Z,Paid
A0821,0444,,5,2025-09-04T14:01:00Z,Refunded
A2292,0212,364.64,9,2025-01-24T11:47:00Z,refunded
A0086,0053,317.59,8,2025-03-28T13:11:00Z,refunded
A4079,0459,15.02,2,2025-11-22T07:24:00Z,Refunded
A3437,0101,139.29,6,2025-08-22T18:00:00Z,paid
A4717,0091,425.15,5,2025-02-20T14:22:00Z,Refunded
A3056,0033,162.45,8,2025-03-23T23:08:00Z,paid
A4370,0687,152.35,7,2025-02-28T16:46:00Z,Paid
